idx,faithfulness,relevance,faithfulness_correct,relevance_correct
0,0.000,2,0.0,1.0
1,-1.000,-1,0.0,0.0
2,,2,0.0,1.0
3,0.000,2,0.0,1.0
4,0.000,1,0.0,0.5
5,-1.000,2,0.0,1.0
6,1.000,2,1.0,1.0
8,0.000,2,0.0,1.0
9,0.000,1,0.0,0.5
10,0.000,2,0.0,1.0
13,-1.000,-1,0.0,0.0
14,0.333,2,0.5,1.0
15,1.000,2,1.0,1.0
16,0.000,2,0.0,1.0
17,0.000,2,0.0,1.0
18,-1.000,0,0.0,0.0
19,0.000,2,0.0,1.0
21,1.000,2,1.0,1.0
22,,-1,0.0,0.0
23,-1.000,-1,0.0,0.0
24,-1.000,2,0.0,1.0
25,,0,0.0,0.0
26,0.000,1,0.0,0.5
27,1.000,2,1.0,1.0
28,0.000,2,0.0,1.0
29,0.000,2,0.0,1.0
30,0.000,2,0.0,1.0
31,0.000,2,0.0,1.0
32,-1.000,1,0.0,0.5
33,1.000,2,1.0,1.0
34,0.750,2,0.5,1.0
35,-1.000,1,0.0,0.5
36,0.000,1,0.0,0.5
37,0.000,-1,0.0,0.0
38,1.000,2,1.0,1.0
39,1.000,2,1.0,1.0
40,-1.000,-1,0.0,0.0
41,-1.000,-1,0.0,0.0
42,0.000,1,0.0,0.5
43,0.500,2,0.5,1.0
44,-1.000,-1,0.0,0.0
45,1.000,2,1.0,1.0
46,1.000,2,1.0,1.0
47,-1.000,-1,0.0,0.0
48,0.000,2,0.0,1.0
49,1.000,2,1.0,1.0
